MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,FireplaceQu_Score,FireplaceFeature,GarageCapacityScore,TotalSize,BasementUtilityScore
60,RL,85.0,11924,No,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,0,177,GasA,Ex,Y,SBrkr,0,0,3,0,4,1,Ex,Typ,BuiltIn,2005.0,Fin,TA,TA,Y,147,21,0,0,0,0,No,No,0,7,2006,New,Partial,345000,4,8,2208,3499,998
20,RL,71.0,12968,No,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,No,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,175,GasA,TA,Y,SBrkr,0,0,1,0,2,1,TA,Typ,Detchd,1962.0,Unf,TA,TA,Y,140,0,0,0,176,0,No,No,0,9,2008,WD,Normal,144000,0,0,352,1824,737
20,RL,91.0,10652,No,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,0,1494,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2006.0,RFn,TA,TA,Y,160,33,0,0,0,0,No,No,0,8,2007,New,Partial,279500,4,4,2520,2988,0
20,RL,73.0,10920,No,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,0,520,GasA,TA,Y,SBrkr,0,0,1,1,2,1,TA,Typ,Attchd,1960.0,RFn,TA,TA,Y,0,213,176,0,0,0,No,GdWo,0,5,2008,WD,Normal,157000,2,2,352,2506,733
45,RM,51.0,6120,No,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,0,832,GasA,Ex,Y,FuseA,0,0,1,0,2,1,TA,Typ,Detchd,1991.0,Unf,TA,TA,Y,48,112,0,0,0,0,No,GdPrv,0,7,2007,WD,Normal,132000,0,0,1152,1686,0
20,RL,73.0,11241,No,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,426,GasA,Ex,Y,SBrkr,0,0,1,0,2,1,TA,Typ,Attchd,1970.0,Fin,TA,TA,Y,0,0,0,0,0,0,No,No,700,3,2010,WD,Normal,149000,3,3,960,2008,578
90,RL,72.0,10791,No,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,Slab,No,No,No,No,No,0,0,GasA,TA,Y,SBrkr,0,0,2,0,2,2,TA,Typ,CarPort,1967.0,Unf,TA,TA,Y,0,0,0,0,0,0,No,No,500,10,2006,WD,Normal,90000,0,0,1032,1296,0
20,RL,66.0,13695,No,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,0,468,GasA,Ex,Y,SBrkr,0,0,1,1,3,1,Gd,Typ,Detchd,2004.0,Unf,TA,TA,Y,0,102,0,0,0,0,No,No,0,6,2008,WD,Normal,159000,0,0,1152,2228,646
20,RL,70.0,7560,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,No,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,0,525,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,Min1,Attchd,1958.0,Unf,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,0,5,2009,COD,Abnorml,139000,0,0,294,2368,0
60,RL,101.0,14215,No,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,0,1158,GasA,Ex,Y,SBrkr,0,0,3,1,4,1,Gd,Typ,BuiltIn,2005.0,RFn,TA,TA,Y,240,154,0,0,0,0,No,No,0,11,2006,New,Partial,325300,4,4,2559,3534,0
45,RM,57.0,7449,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,0,637,GasA,Ex,Y,FuseF,0,0,1,0,3,1,Gd,Typ,Attchd,1930.0,Unf,TA,TA,N,0,0,205,0,0,0,No,GdPrv,0,6,2007,WD,Normal,139400,4,4,280,1745,0
20,RL,75.0,9742,No,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,0,1777,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2002.0,RFn,TA,TA,Y,171,159,0,0,0,0,No,No,0,9,2008,WD,Normal,230000,4,4,1068,3572,0
120,RM,44.0,4224,No,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,No,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,0,200,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,Typ,Attchd,1976.0,Unf,TA,TA,Y,100,110,0,0,0,0,No,No,0,6,2007,WD,Normal,129900,3,3,1144,2100,840
20,RL,71.0,8246,No,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,No,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,668,204,GasA,Ex,Y,SBrkr,0,0,1,0,3,1,Gd,Typ,Attchd,1968.0,Unf,TA,TA,Y,406,90,0,0,0,0,No,MnPrv,0,5,2010,WD,Normal,154000,3,3,270,2120,188
20,RL,110.0,14230,No,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,0,1566,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2007.0,RFn,TA,TA,Y,0,56,0,0,0,0,No,No,0,7,2009,WD,Normal,256300,4,4,2670,3166,0
20,RL,60.0,7200,No,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,486,180,GasA,TA,Y,SBrkr,0,1,1,0,3,1,Gd,Typ,Detchd,2005.0,Unf,TA,TA,Y,222,32,0,0,0,0,No,No,0,5,2010,WD,Normal,134800,0,0,1152,1800,0
20,RL,98.0,11478,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,0,486,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2008.0,RFn,TA,TA,Y,0,50,0,0,0,0,No,No,0,5,2010,WD,Normal,306000,4,4,2316,3408,1218
20,RL,47.0,16321,No,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,0,207,GasA,TA,Y,SBrkr,0,0,1,0,2,1,TA,Typ,Attchd,1957.0,RFn,TA,TA,Y,288,258,0,0,0,0,No,No,0,12,2006,WD,Normal,207500,4,8,319,3084,1277
30,RM,60.0,6324,No,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,0,520,GasA,Fa,N,SBrkr,0,0,1,0,1,1,Fa,Typ,Detchd,1920.0,Unf,Fa,TA,Y,49,0,87,0,0,0,No,No,0,5,2008,WD,Normal,68500,0,0,240,1040,0
70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,No,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,0,649,GasA,TA,N,SBrkr,0,0,1,0,3,1,TA,Typ,Detchd,1920.0,Unf,TA,Fa,N,0,54,172,0,0,0,No,MnPrv,0,7,2008,WD,Normal,40000,0,0,250,1966,0
20,RL,71.0,8544,No,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,0,1228,GasA,Gd,Y,SBrkr,0,0,1,1,3,1,Gd,Typ,Attchd,1966.0,Unf,TA,TA,Y,0,65,0,0,0,0,No,MnPrv,0,6,2008,WD,Normal,149350,0,0,271,2456,0
20,RL,85.0,11049,No,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,0,1234,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2007.0,RFn,TA,TA,Y,0,30,0,0,0,0,No,No,0,1,2008,WD,Normal,179900,0,0,968,2468,0
20,RL,70.0,10552,No,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,0,380,GasA,Gd,Y,SBrkr,0,1,1,1,4,1,Gd,Typ,Attchd,1959.0,RFn,TA,TA,Y,0,38,0,0,0,0,No,No,0,4,2010,WD,Normal,165500,4,4,894,3098,0
120,RL,60.0,7313,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,0,408,GasA,Ex,Y,SBrkr,0,0,2,0,2,1,Ex,Typ,Attchd,2005.0,Fin,TA,TA,Y,203,47,0,0,0,0,No,No,0,8,2007,WD,Normal,277500,4,4,1112,3122,1153
60,RL,108.0,13418,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,0,1117,GasA,Ex,Y,SBrkr,0,0,3,1,4,1,Gd,Typ,BuiltIn,2004.0,Fin,TA,TA,Y,113,32,0,0,0,0,No,No,0,9,2006,WD,Normal,309000,4,4,2073,3569,0
20,RL,112.0,10859,No,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,0,1097,GasA,Ex,Y,SBrkr,0,0,1,1,3,1,TA,Typ,Attchd,1995.0,Unf,TA,TA,Y,392,64,0,0,0,0,No,No,0,6,2009,WD,Normal,145000,0,0,1344,2194,0
20,RL,74.0,8532,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,0,84,GasA,Gd,Y,SBrkr,0,1,1,0,3,1,TA,Typ,Attchd,1954.0,Fin,TA,TA,Y,0,0,0,0,0,0,No,No,0,10,2009,WD,Normal,153000,3,3,996,2594,0
20,RL,68.0,7922,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,0,326,GasA,TA,Y,SBrkr,0,0,1,0,3,1,Gd,Typ,Detchd,1953.0,Unf,TA,TA,Y,0,52,0,0,0,0,No,No,0,1,2010,WD,Abnorml,109000,0,0,246,2114,731
90,RL,65.0,6040,No,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,No,0.0,TA,TA,PConc,No,No,No,No,No,0,0,GasA,TA,N,FuseP,0,0,2,0,2,2,Fa,Typ,No,No,No,No,No,N,0,0,0,0,0,0,No,No,0,6,2008,WD,AdjLand,82000,0,0,0,1152,0
20,RL,84.0,8658,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,0,445,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,TA,Typ,Attchd,1965.0,RFn,TA,TA,Y,0,138,0,0,0,0,No,GdWo,0,12,2006,WD,Abnorml,160000,3,3,880,2412,0
20,RL,115.0,16905,No,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,0,383,GasA,Gd,Y,SBrkr,0,1,1,1,2,1,TA,Typ,Attchd,1959.0,RFn,TA,TA,P,0,104,0,0,0,0,No,No,0,7,2007,WD,Normal,170000,4,8,308,2678,0
85,RL,66.5,9180,No,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,93,0,GasA,Gd,Y,SBrkr,0,0,1,0,2,1,Gd,Typ,Attchd,1983.0,RFn,TA,Gd,Y,240,0,0,0,0,0,No,MnPrv,0,12,2007,WD,Normal,144000,0,0,1008,1724,747
20,RL,70.0,9200,No,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,491,167,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,Typ,Detchd,1977.0,Unf,TA,TA,Y,145,0,0,0,0,0,No,MnPrv,0,7,2008,WD,Normal,130250,0,0,308,1876,280
20,RL,70.0,7945,No,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,506,465,GasA,Ex,Y,FuseA,0,0,1,0,3,1,TA,Typ,Attchd,1959.0,RFn,TA,TA,Y,0,0,0,0,0,0,No,No,0,5,2006,WD,Normal,141000,0,0,300,2300,179
120,RL,61.0,7658,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,0,1296,GasA,Ex,Y,SBrkr,0,0,2,0,2,1,Ex,Typ,Attchd,2005.0,RFn,TA,TA,Y,196,82,0,0,0,0,No,No,0,2,2010,WD,Normal,319900,4,4,1152,3504,456
50,RL,48.0,12822,No,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,0,83,GasA,Ex,Y,SBrkr,0,0,1,1,1,1,Gd,Typ,Attchd,2003.0,RFn,TA,TA,Y,168,43,0,0,198,0,No,No,0,8,2009,WD,Abnorml,239686,5,5,1340,3583,1351
20,FV,84.0,11096,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,0,1632,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2006.0,RFn,TA,TA,Y,0,146,0,0,0,0,No,No,0,7,2007,WD,Normal,249700,0,0,2478,3312,0
190,RM,33.0,4456,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,0,736,GasA,Gd,Y,SBrkr,0,0,2,0,2,3,TA,Typ,No,No,No,No,No,N,0,0,102,0,0,0,No,No,0,6,2009,New,Partial,113000,0,0,0,2188,0
20,RL,66.0,7742,No,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,0,192,GasA,Ex,Y,SBrkr,0,0,1,0,3,1,TA,Typ,Attchd,1966.0,Unf,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,0,1,2007,WD,Normal,127000,0,0,386,1910,763
60,RL,65.0,13869,No,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,0,612,GasA,Gd,Y,SBrkr,0,1,2,0,3,1,TA,Typ,Attchd,1997.0,Fin,TA,TA,Y,0,75,0,0,0,0,No,No,0,7,2007,WD,Normal,177000,0,0,776,2264,0
50,RM,52.0,6240,No,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,0,816,GasA,TA,Y,SBrkr,360,0,1,0,3,1,TA,Typ,Detchd,1985.0,Unf,TA,TA,Y,112,0,0,0,0,0,No,MnPrv,400,9,2006,WD,Normal,114500,4,4,1056,1632,0
90,RM,110.0,8472,No,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,712,0,GasA,TA,N,SBrkr,0,0,1,0,2,1,TA,Typ,CarPort,1963.0,Unf,TA,TA,Y,106,0,0,0,0,0,No,No,0,5,2010,WD,Normal,110000,0,0,1032,1632,104
20,RL,68.0,50271,No,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,No,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,0,32,GasA,Gd,Y,SBrkr,0,0,0,1,0,1,Gd,Typ,Attchd,1981.0,Fin,TA,TA,Y,857,72,0,0,0,0,No,No,0,11,2006,WD,Normal,385000,4,4,2682,3684,3620
